time,bpm
1739538000000,61.0
1743166800000,62.0
1762347600000,84.0
1762434000000,84.0
1762520400000,78.0
1762606800000,81.0
1762693200000,82.0
1762779600000,85.0
1762866000000,88.0
1762952400000,84.0
1763038800000,84.0
1763125200000,80.0
1763211600000,83.0
1763298000000,83.0
1763384400000,84.0
1763470800000,84.0
1763557200000,77.0
1763643600000,90.0
1763730000000,84.0
1763816400000,84.0
1763902800000,81.0
1763989200000,90.0
1764075600000,80.0
1764162000000,77.0
1764248400000,86.0
1764334800000,99.0
1764421200000,97.0
1764507600000,90.0
1764594000000,83.0
1764680400000,84.0
1764766800000,81.0
1764853200000,71.0
1764939600000,83.0
1765026000000,94.0
1765112400000,80.0
1765198800000,83.0
1765285200000,85.0
1765371600000,83.0
1765458000000,80.0
1765544400000,86.0
1765630800000,84.0
1765717200000,84.0
1765803600000,80.0
1765890000000,84.0
1765976400000,84.0
1766062800000,84.0
1766149200000,86.0
1766235600000,75.0
1766322000000,68.0
1766408400000,75.0
1766494800000,75.0
1766581200000,77.0
1766667600000,76.0
1766754000000,82.0
1766840400000,85.0
1766926800000,80.0
1767013200000,77.0
1767099600000,67.0
1767186000000,76.0
1767272400000,80.0
1767358800000,83.0
1767445200000,73.0
1767531600000,84.0
1767618000000,84.0
1767704400000,85.0
1767790800000,75.0
1771592400000,78.0
1771678800000,80.0
1771851600000,80.0
1772024400000,80.0
1772110800000,78.0
1772197200000,76.0
1772283600000,76.0
1772370000000,74.0
1772456400000,72.0
1772542800000,73.0
1772629200000,76.0
1772715600000,78.0
1772802000000,76.0
1772888400000,75.0
