time,recovery_pct,day_strain
1763902800000,,
1764421200000,,12.1
1764521661000,16.0,8.9
1764603562000,8.0,4.6
1764698273000,17.0,10.9
1764770605000,35.0,4.6
1764857816000,43.0,7.2
1764946318000,42.0,9.7
1765026810000,28.0,11.1
1765113062000,18.0,12.8
1765199464000,36.0,4.7
1765295166000,38.0,6.5
1765376288000,59.0,5.0
1765460740000,68.0,8.2
1765552902000,78.0,7.9
1765637685000,89.0,4.3
1765725407000,31.0,5.8
1765809168000,53.0,4.1
1765893740000,39.0,7.0
1765986022000,61.0,8.1
1766070054000,56.0,5.3
1766169240000,20.0,3.9
1766240162000,95.0,0.7
1766340514000,56.0,4.5
1766412246000,48.0,5.8
1766499998000,58.0,6.4
1766585019000,40.0,5.4
1766680901000,28.0,1.2
1766759773000,26.0,5.9
1766848185000,29.0,4.9
1766926967000,69.0,6.2
1767018709000,40.0,4.3
1767106310000,38.0,4.0
1767192502000,51.0,4.2
1767276054000,50.0,8.1
1767368846000,59.0,
